id,order_id,product_name,product_sku,quantity,unit_price,total_price,created_at
4fe3d6d9-075c-4a3a-9df1-a6457d24a563,dc4fd811-536b-4a22-a91f-4fe7b0dd7b1f,Premium Wireless Headphones,WH-PRO-001,1,149.99,149.99,2026-02-20 17:53:45.565541-06:00
685de6ab-5d16-4296-959f-1a85246c20cf,4ac8856f-6c6f-4748-bd4b-eb568320c13b,Bluetooth Speaker Mini,SPK-MINI-002,1,79.99,79.99,2026-02-20 17:53:45.568939-06:00
40694206-7bea-4298-941d-676bcfa42ae6,938c7ffc-21ef-43d2-9073-c6dd3986965f,Smart Watch Series 5,SW-S5-001,1,199.99,199.99,2026-02-20 17:53:45.570734-06:00
26bbdccb-f9b6-4e7d-a7f6-d5a55342ff4d,84002378-2081-470d-90a1-94d3b63aafa0,"4K Monitor 27""",MON-4K-27,1,299.99,299.99,2026-02-20 17:53:45.572583-06:00
8691f542-1fca-4e9d-9e35-2d47a868b1a3,db60e8c4-94a6-4628-ab26-2b44a497250a,Mechanical Keyboard Pro,KB-MECH-PRO,1,149.99,149.99,2026-02-20 17:53:45.574386-06:00
fa797448-daed-47a9-8902-0c0e49a222cb,db60e8c4-94a6-4628-ab26-2b44a497250a,Ergonomic Mouse,MS-ERGO-001,2,49.99,99.98,2026-02-20 17:53:45.576076-06:00
7f783604-8ab0-4d72-8456-b0a0ae9a3388,e9b35648-a18d-4311-8afc-f2d057c92ca2,USB-C Hub,HUB-USBC-7,1,59.99,59.99,2026-02-20 17:53:45.577817-06:00
40b9fc1f-e65c-4bdd-9106-8caca8282334,dc4fd811-536b-4a22-a91f-4fe7b0dd7b1f,Wireless Noise-Canceling Headphones,WH-1000XM5,1,149.99,149.99,2026-02-20 19:07:06.989242-06:00
f6c437a2-066b-4f81-94d7-620dfa3283c0,4ac8856f-6c6f-4748-bd4b-eb568320c13b,Smart LED Desk Lamp,LED-DESK-01,1,49.99,49.99,2026-02-20 19:07:06.993106-06:00
d1e18310-de72-445e-8208-1b37b5284260,4ac8856f-6c6f-4748-bd4b-eb568320c13b,USB-C Hub Adapter,USB-HUB-7P,1,30.00,30.00,2026-02-20 19:07:06.994533-06:00
4e1c4825-e7a3-4cf1-86cf-64158bd5281f,938c7ffc-21ef-43d2-9073-c6dd3986965f,Mechanical Keyboard RGB,KB-MECH-RGB,1,129.99,129.99,2026-02-20 19:07:06.995779-06:00
c08757e0-7747-4512-a447-f8cbad0c47f5,938c7ffc-21ef-43d2-9073-c6dd3986965f,Ergonomic Mouse Pad XL,MP-ERGO-XL,2,35.00,70.00,2026-02-20 19:07:06.997274-06:00
5a7a4ec6-eab6-47b1-8e3c-58c95435677c,84002378-2081-470d-90a1-94d3b63aafa0,"4K Ultra Monitor 27""",MON-4K-27,1,349.99,349.99,2026-02-20 19:07:06.998660-06:00
1eb123f8-225b-4cd3-821b-6e469bd36e97,db60e8c4-94a6-4628-ab26-2b44a497250a,Bluetooth Speaker Portable,SPK-BT-01,1,59.99,59.99,2026-02-20 19:07:06.999952-06:00
9940209a-ca49-4dee-be1e-bbcc8b8214f0,e9b35648-a18d-4311-8afc-f2d057c92ca2,Smart Fitness Watch,FIT-WATCH-02,1,129.99,129.99,2026-02-20 19:07:07.001265-06:00
cc9fdef1-a7bc-4668-ab97-8e4927a15e6a,d4cc135a-f676-4910-95dc-7726fa5867fd,Wireless Earbuds Pro,EAR-PRO-01,1,199.99,199.99,2026-02-20 19:07:07.002483-06:00
1bb915e3-8552-4d14-89ae-fa3f76610ecd,d4cc135a-f676-4910-95dc-7726fa5867fd,Charging Case,EAR-CASE-01,1,50.00,50.00,2026-02-20 19:07:07.003754-06:00
0c829dd5-78f7-43a2-935d-0784a9d18b83,dc4fd811-536b-4a22-a91f-4fe7b0dd7b1f,Wireless Noise-Canceling Headphones,WH-1000XM5,1,149.99,149.99,2026-02-24 14:17:43.919933-06:00
85e0335a-5f44-484f-b30d-b6d1b9df8fbc,4ac8856f-6c6f-4748-bd4b-eb568320c13b,Smart LED Desk Lamp,LED-DESK-01,1,49.99,49.99,2026-02-24 14:17:43.932499-06:00
855b39a3-e449-4f75-b7a3-ceb4f4dba25e,4ac8856f-6c6f-4748-bd4b-eb568320c13b,USB-C Hub Adapter,USB-HUB-7P,1,30.00,30.00,2026-02-24 14:17:43.935825-06:00
be6d61ff-0843-4c3a-86f2-c160fc528d0c,938c7ffc-21ef-43d2-9073-c6dd3986965f,Mechanical Keyboard RGB,KB-MECH-RGB,1,129.99,129.99,2026-02-24 14:17:43.938963-06:00
6da92a2f-6502-47d6-b344-686c60d76458,938c7ffc-21ef-43d2-9073-c6dd3986965f,Ergonomic Mouse Pad XL,MP-ERGO-XL,2,35.00,70.00,2026-02-24 14:17:43.942021-06:00
0d1e4667-5bc6-49a2-860a-29d10262450c,84002378-2081-470d-90a1-94d3b63aafa0,"4K Ultra Monitor 27""",MON-4K-27,1,349.99,349.99,2026-02-24 14:17:43.945178-06:00
7b1aad6f-1f5c-4271-b21a-d575ea6fa5e9,db60e8c4-94a6-4628-ab26-2b44a497250a,Bluetooth Speaker Portable,SPK-BT-01,1,59.99,59.99,2026-02-24 14:17:43.948327-06:00
bf0c23cf-183a-4957-8a6d-9eb15d79efb6,e9b35648-a18d-4311-8afc-f2d057c92ca2,Smart Fitness Watch,FIT-WATCH-02,1,129.99,129.99,2026-02-24 14:17:43.951296-06:00
6f76c462-bf9b-4a7e-ad12-36bcd6d235f8,d4cc135a-f676-4910-95dc-7726fa5867fd,Wireless Earbuds Pro,EAR-PRO-01,1,199.99,199.99,2026-02-24 14:17:43.954283-06:00
