id,interaction_id,rating,comment,retrain_flag,created_at
f25df778-fe5b-495d-a713-c2036bf49738,2bb118e7-1010-4efa-b8a3-c724d62fc87b,5,,False,2026-03-23 17:59:50.927236-05:00
d7655e81-a7a0-4812-bd5e-8d1957aac331,ea8036da-d203-4cd2-a5b3-b391ec19d50e,1,,True,2026-03-23 23:22:40.070258-05:00
73ded4c8-58a1-4516-b7d3-781ff9c07ff9,273f6292-aae8-4bd9-a6ba-ee6527ae43bd,5,,False,2026-03-23 23:39:10.559253-05:00
f9ada110-138b-40ba-8adb-29c3e73eca8b,53d3402e-9e91-41de-99ce-2db53fee74e9,1,,True,2026-03-24 12:29:10.777434-05:00
19973afa-d18d-4c8b-a665-5c8ae0fcd6ee,b47e3644-4142-42bd-b2f0-456b3049825f,1,,True,2026-03-24 12:29:17.414386-05:00
a4e4fb90-801c-4ef6-a8db-bd4664c9c88b,cacf03f1-d4b2-47e7-a8ab-8743eaa052e7,1,,True,2026-03-24 12:29:25.318818-05:00
6edd3457-0196-43e4-b13c-03f02b360c65,4eaf037d-6a19-4bd1-be22-d4d6d2d3cdfb,5,,False,2026-03-24 12:29:37.227637-05:00
b7903df1-1a66-4ccb-a873-9419c3780ca9,25798913-5931-4efe-8f65-b24a224e0d44,1,,True,2026-03-24 12:29:47.530206-05:00
0d70e295-be64-4d77-88a7-101f9f2ce7a2,bc0d5845-04d9-46f0-b723-67b0ebb1836c,5,,False,2026-03-24 12:41:10.966810-05:00
e2b3cb18-af1b-44f0-9d59-cb179d2c714d,8b36aa84-598e-4938-8ded-8eef351d9630,5,,False,2026-03-24 12:42:57.694594-05:00
46202162-c09a-4bb1-992a-a62765aa501d,b43d6107-4064-4b29-898d-3245006fd416,1,,True,2026-03-24 12:43:28.947162-05:00
1ba1648a-6342-4aca-b4e6-d64b21841bd8,c29a93c9-15df-4e14-aa6c-28e7112a2aad,5,,False,2026-03-24 22:23:00.039161-05:00
987af7ec-48a9-412a-9d96-136c79bffd99,d38206ea-e4e9-40e2-970a-7137df0bcdba,1,,True,2026-03-24 22:23:49.686634-05:00
df43563f-4373-4cdf-80fe-2ee5e7292698,62cfa0ef-053a-4401-b07b-ab4bcabc513a,5,,False,2026-03-24 22:29:21.052773-05:00
0d597630-3faf-42e8-8b14-89d028ec2164,f7904e6f-c4a5-4ca2-999d-6ad7690f7723,1,,True,2026-03-24 22:29:58.227914-05:00
5d6e68f8-706c-4399-b08a-7f39eabb60ed,abd6d998-0a71-43be-b63e-6fbb5d43a440,1,,True,2026-03-24 22:29:58.983757-05:00
b184cc5b-a23f-43e7-a1c6-3928c94e13fc,5a717bd3-f759-419d-a3f9-665a2ceb2865,5,,False,2026-03-24 22:39:10.002722-05:00
ce1fe5e5-b862-4582-9e46-34ece2733079,9777dae1-e08e-4def-bf8e-90a9cff2cdce,5,,False,2026-03-24 22:39:27.616221-05:00
9e7ddfe7-fa8a-49ee-952e-380f359f2fd0,231e8dc5-d940-4631-b1ad-3e30a4afa1f3,5,,False,2026-03-24 22:43:28.017777-05:00
26508530-460b-4e67-a65a-6b36407ae5da,3eae3868-a855-437e-b2b7-ccb5ba716274,5,,False,2026-03-24 22:45:11.280767-05:00
725d0ba4-e6e6-4802-9d2b-b94c514de48d,06782f4d-d76e-423c-8297-91de90ddeb3d,5,,False,2026-03-24 22:45:15.260760-05:00
f790b308-3a75-42f3-9944-e1ec50d287b8,19a9a12e-f516-4dc7-a976-2ebdbd28279e,5,,False,2026-03-24 22:45:49.978498-05:00
12d6d839-9ca4-4286-bcda-cfeca358c7e5,6120ed2a-915d-4590-9a20-d8860c0fddf6,5,,False,2026-03-24 22:52:13.509579-05:00
ff1595de-b5f7-44d4-aeeb-6bf4e045099b,a6f3a107-f2f2-4ff1-a40d-d1141e111c93,5,,False,2026-03-24 22:52:15.056404-05:00
2063cf22-ed69-4f53-abf6-b550fee5001b,b76ad5e5-cbb3-4de7-829d-662c0e604fe2,5,,False,2026-03-24 22:52:16.374553-05:00
79d5f569-2867-41c5-abfb-6e7a9ce9caa5,87858c2e-d11c-457b-bcc3-c65447ccae68,5,,False,2026-03-25 22:57:06.831094-05:00
5db27507-3d5f-4e31-9df7-a5aceaf3d905,87858c2e-d11c-457b-bcc3-c65447ccae68,5,,False,2026-03-25 22:58:50.954207-05:00
4ad926f2-92a3-4e74-bb2e-5c4da8c7f3ec,a73ca2d0-0493-4833-96f5-a7e4ba28547e,5,,False,2026-03-25 22:58:54.636049-05:00
109a3b25-0734-467e-b202-fa559e8f0261,135279be-fe26-49ac-a3c8-e534b7d2d9d4,5,,False,2026-03-25 22:59:01.031722-05:00
b1593672-b8c5-4db1-82c1-1549c2229422,44b9b220-b9f8-4b7d-9372-53dc8cc36a92,1,,True,2026-03-25 23:00:23.331185-05:00
12ebb821-c0ce-422d-89fa-b0b15ebee3d9,214f3c5a-da19-460d-9d00-de95af7f5557,5,,False,2026-03-26 23:20:51.808265-05:00
d6a78e7c-515b-468e-b60f-ceafaa518d14,906665fd-cad8-4d4a-a799-665b447bc672,5,,False,2026-03-26 23:22:00.622115-05:00
7b4d9ad8-262c-46dc-abf4-45382700969d,97b2fe3d-2f7d-4ee1-a204-bbed559494e3,5,,False,2026-03-26 23:22:37.288394-05:00
257b5d41-45f8-422c-baee-5f387802344c,24cf64e5-9046-40f4-8aec-80142bee816b,1,,True,2026-03-26 23:22:39.512578-05:00
012a0c8e-0c03-4372-bb70-1642fdf4bebd,6df61614-5a3f-4911-938d-e6ae52387acb,1,,True,2026-03-26 23:51:58.216561-05:00
f68a5119-81b9-45d0-9bdb-9798268749d1,08a62e9b-8def-4dbc-b268-d6b570535708,5,,False,2026-03-26 23:55:55.354202-05:00
fd23b6d7-66b9-4c78-8b8a-1818476af7c9,7811e2ae-e31d-489e-9c43-e74d16d1cd2c,5,,False,2026-03-27 00:14:53.001827-05:00
ee4e443e-2b62-46a0-bbcc-53bae5696bb4,383d8de0-f376-40ff-ad29-329b30831c89,5,,False,2026-03-31 14:29:04.845158-05:00
1a01560e-f445-4451-8cfb-f5b8610f8dc9,323a800f-9700-4806-aeef-398225a9e9c8,5,,False,2026-03-31 14:29:48.357710-05:00
9c6188ef-a0a7-45c5-b463-7c31d682f866,bcb69e97-0d6c-4207-b6b3-8d5fb3b08599,5,,False,2026-03-31 14:29:49.198322-05:00
12ab3cc0-325f-4682-a33c-c7e1ce386341,16849a0c-26e7-425c-94f8-a4622ca0e226,5,,False,2026-03-31 14:29:59.267896-05:00
7c43e71d-fccd-405c-8687-1d66462341aa,0f3f79ff-0865-4d00-8bf6-39683d1258b6,5,,False,2026-04-08 14:45:41.063193-05:00
a821a9a3-dff3-49eb-bdfa-f971c67a8252,68d33c9b-dc99-4d62-bbfd-a22b7dfdd723,5,,False,2026-04-08 14:46:40.761111-05:00
2d65cf33-d077-4af4-bec5-f71afb8cda9e,7c822117-92ba-4dd9-836e-5166732f83f2,5,,False,2026-04-08 14:47:36.414774-05:00
